examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100000fc 000000a0 b inst
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1000019c 00000001 b nInst
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1000019d 00000001 b GPIO00
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1000019e 00000001 b GPIO01
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1000019f 00000001 b GPIO02
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001a0 00000001 b GPIO03
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001a1 00000001 b GPIOINT
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001a8 00000001 b bGrabarYEjecutar
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001a9 00000001 b bOperacionSeteada
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001aa 00000001 b bPrimerKeyPulsada
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001ab 00000001 b bUsarDecimales
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001ac 00000001 b nDeDecimales
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001ad 00000001 b ultOperacion
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10000000 00000001 d KeyPulsada
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10000001 00000001 d nDeOperacion
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10000002 00000001 d ultimaKeyPulsada
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001b0 00000004 b heap_end.5778
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001b8 00002000 b ucHeap
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100001b4 00000004 b pucAlignedHeap.11438
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100021b8 00000004 b xNextFreeByte
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000d96 00000012 t prvGetDisinheritPriorityAfterTimeout
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000da8 0000001e t prvIsQueueFull
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000dc6 0000001a t prvIsQueueEmpty
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000de0 00000076 t prvCopyDataToQueue
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000e56 00000024 t prvCopyDataFromQueue
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000e7a 0000006e t prvUnlockQueue
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a000f6c 00000022 t prvInitialiseNewQueue
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a0011e8 00000018 t prvInitialiseMutex
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100021bc 00000168 b uxIdleTaskStack.10728
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002324 000005a0 b uxTimerTaskStack.10735
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:100028c4 00000060 b xIdleTaskTCB.10727
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002924 00000060 b xTimerTaskTCB.10734
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a001770 0000002c t prvResetNextTaskUnblockTime
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a00179c 00000092 t prvInitialiseNewTask
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a001830 00000068 t prvInitialiseTaskLists
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a001898 000000ac t prvAddNewTaskToReadyList
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a001944 00000038 t prvDeleteTCB
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a00197c 0000004c t prvCheckTasksWaitingTermination
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a0019c8 00000028 t prvIdleTask
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1a0019f0 00000098 t prvAddCurrentTaskToDelayedList
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002988 00000004 b pxDelayedTaskList
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:1000298c 00000004 b pxOverflowDelayedTaskList
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002990 0000008c b pxReadyTasksLists
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a1c 00000004 b uxCurrentNumberOfTasks
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a20 00000004 b uxDeletedTasksWaitingCleanUp
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a24 00000004 b uxPendedTicks
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a28 00000004 b uxSchedulerSuspended
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a2c 00000004 b uxTaskNumber
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a30 00000004 b uxTopReadyPriority
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a34 00000014 b xDelayedTaskList1
examples_c/sapi/rtos_freertos/dynamic_mem/wire_bending_RTOS/out/wire_bending_RTOS.elf:10002a48 00000014 b xDelayedTaskList2
